mortgage,loans,age,marital_status,income,risk
1,1,39,0,39994.9,1
1,2,48,0,39826.6,1
1,2,36,0,44332.75,1
1,2,36,0,44404,1
1,2,51,0,43584.5,1
1,1,62,0,39138.94,1
1,1,50,0,41855.25,1
1,1,59,0,37939.78,1
0,1,25,0,40134,1
0,1,48,0,39527.75,1
1,2,49,0,37362.64,1
0,2,60,0,38269.5,1
0,1,57,0,38278.75,1
0,2,53,0,38008.75,1
1,2,41,0,37166,1
1,2,50,0,36233.08,1
0,2,28,0,35326.25,1
0,2,54,0,34716.5,1
0,1,35,0,34277,1
0,1,49,0,34191.75,1
1,0,54,1,53242.06,1
1,0,45,1,50380.9,1
0,1,39,1,43789.9,1
1,1,35,1,43505.26,1
0,1,30,1,55751,1
1,1,51,1,55436,1
0,1,55,1,55186.75,1
0,1,53,1,43345.78,1
1,1,49,1,54843,1
1,1,55,1,54522.25,1
1,1,34,1,54180.75,1
0,1,31,1,42949.6,1
0,1,56,1,53411.5,1
1,1,47,1,53665.25,1
0,1,47,1,53321.25,1
1,1,63,1,53482.75,1
1,1,54,1,53011.5,1
1,1,38,1,52561.75,1
0,1,50,1,52726.5,1
0,1,66,1,42120.34,1
1,1,56,1,51684.25,1
0,1,57,1,51127.25,1
0,1,31,1,50799.5,1
0,1,44,1,50664.25,1
0,1,54,1,50203.25,1
0,1,38,1,49812.75,1
1,1,53,1,49813.25,1
0,1,53,1,49664.25,1
1,1,27,1,49553.75,1
0,1,53,1,40909.24,1
1,1,51,1,40692.4,1
1,1,42,1,47468.5,1
0,1,48,1,47334.75,1
0,1,37,1,46957.75,1
0,1,33,1,45627.75,1
1,1,32,1,39807.22,1
0,1,40,1,44957.25,1
0,1,41,1,44619.75,1
1,1,46,1,43896.5,1
1,1,43,1,43521.25,1
0,1,34,1,39759.75,1
1,1,32,1,38096.5,1
0,1,31,1,37887.5,1
1,1,35,1,37371.75,1
1,1,41,1,37436.5,1
1,1,46,1,36786,1
0,1,38,1,36357,1
0,1,40,1,35614,1
0,1,52,1,35380.75,1
0,0,43,0,61250.68,1
1,1,45,1,56693.25,1
0,1,54,1,42060,1
0,3,54,1,48110.32,1
0,3,40,1,62949.25,1
1,2,44,1,45072.4,1
1,3,46,1,44623.54,1
1,3,51,1,41864.02,1
0,3,56,1,40223.74,1
1,3,55,1,39417.88,1
0,2,51,1,36691.6,1
1,0,40,1,78398.62,1
1,1,50,0,72214.9,1
1,0,56,0,70133.62,1
1,1,43,0,69142,1
1,1,63,0,66774.22,1
1,1,38,0,66399.46,1
1,0,49,0,65255.68,1
1,0,54,0,65087.8,1
1,1,51,0,64692.76,1
1,1,38,0,64051.12,1
1,1,43,0,64029.88,1
1,1,43,0,63627.88,1
1,0,43,0,63508.96,1
1,1,60,0,63205,1
1,0,50,0,63007.9,1
1,0,42,0,62868.7,1
1,0,51,0,61746.76,1
1,0,49,0,61738.12,1
1,0,54,0,61173.7,1
1,0,37,0,61119.7,1
1,0,46,0,60802.66,1
1,1,34,0,60372.1,1
1,1,47,0,59908.72,1
1,1,55,0,59796.52,1
1,0,49,0,57767.74,1
1,1,32,0,55186.72,1
1,1,48,0,52943.08,1
1,0,45,1,48266.8,1
0,1,51,1,47493,1
1,1,48,0,46631.25,1
1,0,52,1,52033.54,1
1,0,37,1,51852.4,1
1,0,49,1,50873.56,1
1,0,44,1,50793.46,1
1,0,50,1,48931.66,1
1,0,33,1,48780.16,1
1,0,45,1,47067.82,1
1,0,60,1,46869.88,1
1,0,51,1,46810.12,1
1,0,55,1,45709.78,1
1,0,51,1,44896.42,1
1,0,54,1,44301.52,1
1,1,60,1,54096,1
